Id,Category
975185389999681537,positive
975185419993219072,positive
975185426716672003,positive
975185434148978688,neutral
975185490637967360,neutral
975185519461130240,positive
975185523273682944,neutral
975185548515074048,neutral
975185564545798144,positive
975185573836095490,positive
975185610779410432,neutral
975185660788334592,positive
975185750911168512,neutral
975185828568879104,neutral
975185870394482688,neutral
975185946671853568,neutral
975185958965399553,positive
975185978955649024,positive
975185983384645633,neutral
975186032118218754,positive
975186084907888646,neutral
975186092449185792,positive
975186172304486400,positive
975186175274098688,neutral
975186192885891072,neutral
975186224439808000,positive
975186315107975168,neutral
975186313941929984,positive
975186317716832258,neutral
975186382187520001,positive
975186398385983489,neutral
975186439246770177,neutral
975186451272011776,positive
975186452848914432,positive
975186528946311171,neutral
975186543097790464,neutral
975186570218262531,neutral
975186649654034438,positive
975186661247242240,neutral
975186703999696896,neutral
975186775240052736,neutral
975186804600115200,neutral
975186825420689409,positive
975186887404085248,positive
975186924343308288,neutral
975186947449667584,neutral
975186950821785601,neutral
975187176173522944,positive
975187384890372096,neutral
975187429060575232,neutral
975187431161933824,neutral
975187482751909889,neutral
975187483372605441,neutral
975187515018698752,neutral
975187597327650816,positive
975187620970905600,neutral
975187700306227200,neutral
975187775778467841,neutral
975187822201262082,neutral
975187859157078017,neutral
975187913351815169,neutral
975187954007199744,positive
975188080289370112,neutral
975188112136486917,neutral
975188146190241798,positive
975188288196657152,positive
975188361702002688,positive
975188444568739840,neutral
975188446770843648,neutral
975188507856584705,positive
975188556426678272,positive
975188579591876608,positive
975188668682878976,neutral
975188682943684608,positive
975188782029787136,neutral
975188787155357696,neutral
975188836207665152,neutral
975188883691491328,neutral
975188889496244224,neutral
975188925365891072,neutral
975188948526886912,positive
975189013916192769,positive
975189058530951168,neutral
975189227565699072,neutral
975189240551129089,positive
975189271568142336,neutral
975189363733745664,positive
975189364077555712,neutral
975189364937502720,positive
975189369744252928,neutral
975189475369390081,positive
975189527227613184,neutral
975189548547432448,neutral
975189553937084417,positive
975189600783056896,positive
975189638242435072,positive
975189918623281152,neutral
975189943818637314,neutral
975189965180055553,positive
975190037049430016,neutral
975190093374808064,positive
975190121359265792,neutral
975190137578586112,neutral
975190234597089282,positive
975190261163745280,neutral
975190261767778305,neutral
975190310971170816,neutral
975190327039442945,neutral
975190332374593536,positive
975190516848459776,neutral
975190551917035520,neutral
975190598486560769,neutral
975190617327206400,neutral
975190649799565312,neutral
975190668506214400,positive
975190670645248002,neutral
975190746314588160,positive
975190771648352256,positive
975190785929940992,positive
975190829449953280,neutral
975190846646632448,neutral
975190912421715968,positive
975191062774992899,positive
975191067229347841,neutral
975191101530402816,neutral
975191125643481088,neutral
975191140013084672,positive
975191174540681216,positive
975191219981639680,positive
975191267608006656,positive
975191298104688642,neutral
975191369907138560,positive
975191396993806336,positive
975191412617695233,positive
975191438110621701,neutral
975191511896768512,neutral
975191517877780480,positive
975191539902271488,positive
975191599671140352,positive
975191608218890240,neutral
975191659704066048,neutral
975191709049962496,neutral
975191768416256002,positive
975191778822316037,neutral
975191888201306113,neutral
975191898091597825,neutral
975191944765804545,positive
975192105009102848,neutral
975192314997084160,positive
975192406944550912,positive
975192491698790400,neutral
975192516717772800,neutral
975192577606479872,neutral
975192692522090496,positive
975192718468055040,positive
975192727901163520,positive
975192735790653442,neutral
975192745294925826,neutral
975192745395589120,neutral
975192767113629701,positive
975192793378410496,neutral
975192803641839619,neutral
975192999637475328,neutral
975193034588639232,positive
975193065336971264,positive
975193352692908032,neutral
975193569320345600,neutral
975193603453734912,positive
975193972065710080,neutral
975193971872976896,neutral
975193997915205632,neutral
975194089170919426,neutral
975194170355863552,positive
975194235317100544,neutral
975194270536642565,neutral
975194341416325120,positive
975194346696859648,positive
975194616789110784,neutral
975194903654277120,neutral
975194963536265216,positive
975194964010217474,neutral
975195091907284992,neutral
975195224476737536,positive
975195325995499521,positive
975195426004414464,neutral
975195429422985216,positive
975195515087278080,positive
975195603591364609,positive
975195606640504832,neutral
975195647560339458,neutral
975195908940992512,neutral
975195912912781312,neutral
975195925327966208,neutral
975195993531559936,neutral
975196226856603648,positive
975196317436661760,positive
975196333605875712,positive
975196340979314689,neutral
975196431211532288,positive
975196555891302401,positive
975196808518520833,positive
975196976277934080,neutral
975197316989706240,neutral
975197430412206080,positive
975197432643436549,positive
975197484636090369,neutral
975197597521596423,positive
975197603662004224,positive
975197645043101696,neutral
975197648939638784,positive
975197721450766336,positive
975197880297246720,positive
975197906545373185,positive
975197981417734144,positive
975198022895374336,neutral
975198083427520512,neutral
975198153195577344,neutral
975198244178362368,positive
975198268857638913,positive
975198529302839296,neutral
975198696341061633,positive
975198930836316161,positive
975198943993892864,positive
975198992576397312,positive
975198991691390977,positive
975199488112553984,positive
975199488712302592,neutral
975199628688699392,neutral
975199630555168770,neutral
975199670740795393,neutral
975199784062636033,positive
975199799904387072,neutral
975199800168562688,neutral
975199912714412032,neutral
975200006331183105,neutral
975200069380182016,neutral
975200105010692097,positive
975200122156929025,positive
975200126145740800,positive
975200156944687104,neutral
975200171003863042,neutral
975200305779564545,positive
975200392966561792,positive
975200432527106048,neutral
975200482045124609,neutral
975200639692271616,neutral
975200919297187840,positive
975200928897777664,neutral
975200936543993856,neutral
975201001136271361,neutral
975201191096410112,positive
975201272570658816,neutral
975201273828974592,neutral
975201392628523008,neutral
975201510702239744,neutral
975201644584493056,neutral
975201662091456513,neutral
975201734997020677,positive
975201813858107392,neutral
975201913955344385,neutral
975201990824419328,neutral
975202008402747392,positive
975202103072210944,neutral
975202311386443776,neutral
975202467804717056,neutral
975202482413621248,positive
975202564391297025,neutral
975202606665486336,neutral
975202681785602048,neutral
975202865848315906,neutral
975202965182140416,neutral
975202980973592576,neutral
975202984731774976,positive
975203038041325568,positive
975203109499584512,neutral
975203141183528961,neutral
975203191209021440,neutral
975203260159135744,positive
975203269457752065,neutral
975203341872504832,neutral
975203364081360896,neutral
975203375385112576,neutral
975203481144438784,positive
975203518322651141,neutral
975203592314368001,neutral
975203615852838912,neutral
975203627567538177,neutral
975203649075822592,neutral
975203691652300800,neutral
975203766499606528,neutral
975203783134318592,positive
975203817888370688,positive
975203871365705728,positive
975203901099167749,positive
975204015544791040,neutral
975204161544310785,neutral
975204255245258752,neutral
975204449932132352,neutral
975204665938780161,neutral
975204888643645440,neutral
975205001122516992,neutral
975205139307839488,neutral
975205186921746433,positive
975205238759071746,positive
975205281964568577,positive
975205342987501568,positive
975205425753681921,neutral
975205429620936706,positive
975205432930291712,positive
975205494309601280,neutral
975205515956338688,neutral
975205549720530944,neutral
975205584692699136,neutral
975205623435374599,neutral
975205636748206080,neutral
975205637087887360,positive
975205722362331137,neutral
975205822828486656,neutral
975205842340294656,neutral
975205870144499712,neutral
975205916143267842,positive
975205928289972225,neutral
975205966885998592,neutral
975206157672468480,neutral
975206249313660928,neutral
975206311183790080,neutral
975206610007027712,positive
975206761471803392,positive
975206811644043264,neutral
975206830627581952,positive
975206850302918656,neutral
975206858368589824,neutral
975206876718813187,positive
975206909455183872,neutral
975206933308346368,neutral
975206936261033985,neutral
975206979001028608,neutral
975207048198553601,neutral
975207062941581313,neutral
975207083292282880,neutral
975207136950128641,positive
975207204075667456,positive
975207276565975040,neutral
975207351555796992,positive
975207365547970560,neutral
975207377585651713,neutral
975207465737388032,neutral
975207489854693376,neutral
975207494766051329,neutral
975207532879736834,neutral
975207570339135488,positive
975207624273571840,neutral
975207634893553664,neutral
975207683757293569,neutral
975207706117189633,neutral
975207717991202818,neutral
975207756163698688,neutral
975207760408162305,neutral
975207791710351360,positive
975207817929023488,neutral
975207832441139200,neutral
975207839642935296,neutral
975207839802171392,neutral
975207878117257216,neutral
975207887588020224,neutral
975207926880260096,neutral
975207978092515328,neutral
975208011101741056,positive
975208024171335680,neutral
975208054110089222,neutral
975208063895416832,neutral
975208116836061190,neutral
975208179943424000,neutral
975208200814215168,neutral
975208206786904065,neutral
975208318603091975,positive
975208323032100864,neutral
975208348114075648,neutral
975208363586764800,neutral
975208469300211712,positive
975208551600795650,positive
975208576238075904,neutral
975208615740022785,neutral
975208629912592384,neutral
975208642785042432,neutral
975208643640594432,positive
975208649621569539,neutral
975208652079550464,neutral
975208738138345472,neutral
975208755326406656,neutral
975208762209267712,neutral
975208788499353600,neutral
975208806526337024,positive
975208951141695488,positive
975208954639802373,neutral
975208970641117185,neutral
975209021664710656,positive
975209053298348032,neutral
975209078736658433,neutral
975209140510314496,positive
975209156712869889,neutral
975209198186266624,positive
975209226187542528,neutral
975209325491703808,neutral
975209494698479616,neutral
975209530811297792,positive
975209679063322624,positive
975209709845102594,positive
975209722499526656,neutral
975209761712025600,neutral
975209806494498817,neutral
975209892356108288,neutral
975209955975401472,positive
975209957850152960,positive
975210025986740224,neutral
